gene,eds1,rgt1,lys14
YKL134C,0.2446932826,0.6874832849,0.6661865182
YMR056C,0.5916605061,0.4750784503,0.4588613729
YBR085W,0.7963419089,0.6634514677,0.2745990987
YJR155W,0.4217957961,0.3444319901,0.3343823652
YNL331C,0.0445502669,0.4347131894,0.4201967703
YOL165C,0.268508087,0.5125613615,0.4949475981
YCR107W,0.1320651426,0.04422800425,0.7092232466
YDL243C,0.5414626968,0.4347131894,0.4201967703
YFL056C,0.183934911,0.4347131894,0.4201967703
YNL141W,0.9747336495,0.6964325865,0.8967290284
YHR047C,0.8561725403,0.3771631386,0.3500559529
YBL074C,0.4767573744,0.9044826979,0.377657781
YKL106W,0.6363629717,0.5125613615,0.4949475981
YLR027C,0.02782405493,0.547367742,0.174105034
YBR236C,0.5414626968,0.4347131894,0.4201967703
YKL112W,0.5462884434,0.5673700321,0.5333754821
YMR072W,0.7116223971,0.579688714,0.5600612146
YJR108W,0.07030004921,0.2940203166,0.2868236806
YCR088W,0.1567847533,0.6097017524,0.5893988544
YOR239W,0.1567847533,0.6097017524,0.2239092313
YNR033W,0.183934911,0.4347131894,0.4201967703
YMR289W,0.4850939927,0.3912439327,0.3787695642
YER045C,0.3748397772,0.3374251409,0.1296607096
YGR037C,0.2219764303,0.8807096267,0.5924615504
YNR016C,0.0822347199,0.7842250624,0.422660027
YLR131C,0.4850939927,0.3912439327,0.08303083119
YLR144C,0.1812692469,0.1812692469,0.1812692469
YJR083C,0.04054456952,0.2397321013,0.2358669062
YBL015W,0.9716276177,0.4167664264,0.6457675424
YDL203C,0.4338974954,0.2697328049,0.6167800922
YDR161W,0.3507162538,0.2940203166,0.2868236806
YPL267W,0.3530293073,0.579688714,0.1988188174
YLR304C,0.7484361663,0.4741904842,0.9100431844
YJL200C,0.8817968926,0.9113032725,0
YKL192C,0.8719178751,0.4030992672,0.7286139071
YAL054C,0.7484361663,0.7269059777,0.2230399934
YLR153C,0.1507345612,0.9044826979,0.001985171261
YFL039C,0.3353477104,0.8137974327,0.9445081235
YDR448W,0.2374469322,0.7547433545,0.7221029168
YMR184W,0.5772708314,0.1454898041,0.7092232466
YKL206C,0.268508087,0.5125613615,0.4949475981
YAR015W,0.5916605061,0.4750784503,0.4588613729
YNL220W,0.01744382869,0.7994428012,0.05087986936
YLR359W,0.2259286423,0.4750784503,0.4588613729
YLR028C,0.5414626968,0.4347131894,0.4201967703
YMR120C,0.1749806391,0.7676324656,0.7467114873
YOR128C,0.8719178751,0.7497639362,0.7286139071
YGR204W,0.4517574141,0.6631912363,0.8814442964
YMR300C,0.5414626968,0.4347131894,0.4201967703
YGL234W,0.3110417306,0.547367742,0.5286273871
YGR061C,0.8719178751,0.4030992672,0.7286139071
YDR408C,0.3530293073,0.579688714,0.5600612146
YCL058W-A,0.3110417306,0.547367742,0.5286273871
YOL086C,0.9873984839,0.9431329243,0.931743236
YMR303C,0.5440298004,0.3507677798,0.1132640097
YMR083W,3.298116466e-4,0.657479898,8.117984951e-9
YGL256W,0.6420311506,0.9860829771,0.9816060121
YBR145W,0.4850939927,0.3912439327,0.08303083119
YMR318C,0.08956028687,0.8597921584,0.1096208004
YCR105W,0.5916605061,0.4750784503,0.4588613729
YMR009W,0.8561725403,0.7305213579,0.7092232466
YDR226W,0.3748397772,0.3374251409,0.8541727331
