gene,eds1,rgt1,lys14
YKL134C,0.6830343027,0.3296279196,0.6481352398
YMR056C,0.1345599156,0.4788230566,0.4455469236
YBR085W,0.09479136543,0.3021903368,0.2567171145
YJR155W,0.3422899948,0.3467744713,0.3262435271
YNL331C,0.1105116426,0.4380756576,0.4083327713
YOL165C,0.5088370774,0.5166156975,0.4804204137
YCR107W,0.3713887351,0.7353015911,0.328112876
YDL243C,0.4316314855,0.4380756576,0.4083327713
YFL056C,0.4316314855,0.4380756576,0.4083327713
YNL141W,0.9083622216,0.7040435671,0.8833836154
YHR047C,0.3713887351,0.7353015911,0.6910057923
YBL074C,0.6730276253,0.9077313409,0.1583252515
YKL106W,0.15963036319999999,0.1652227251,0.4804204137
YLR027C,0.1854598955,0.5516678417,0.5131004624
YBR236C,0.1105116426,0.4380756576,0.4083327713
YKL112W,0.8472468831,0.1307123797,0.8162410093
YMR072W,0.2118173982,0.5841782136,0.5437250308
YJR108W,0.2924833463,0.2957030615,0.2810218897
YCR088W,0.2385005345,0.6143311274,0.5724234027
YOR239W,0.06788156294,0.6143311274,0.5724234027
YNR033W,0.4316314855,0.4380756576,0.09781935116
YMR289W,0.388590433,0.3941424874,0.3686208547
YER045C,0.330070076,0.3454902563,0.1126040651
YGR037C,0.1609648327,0.6348790757,0.5631216679
YNR016C,0.0674051401,0.7888099874,0.7457200102
YLR131C,0.01378754748,0.3941424874,0.07828195488
YLR144C,0.1812692469,0.1812692469,0.1812692469
YJR083C,0.2389049713,0.2406387139,0.2327650362
YBL015W,0.9014227337,0.6878504436,0.3460206973
YDL203C,0.6332106634,0.6422975318,0.5993167303
YDR161W,0.2924833463,0.2957030615,0.2810218897
YPL267W,0.5755552774,0.5841782136,0.1857044738
YLR304C,0.7199917686,0.7343259552,0.8975919403
YJL200C,0.2191711594,0.7040435671,0
YKL192C,0.1588118917,0.7544959397,0.3515622182
YAL054C,0.7199917686,0.7343259552,0.8975919403
YLR153C,0.2041006017,0.9077313409,0.3460206973
YFL039C,0.3632710753,0.9565362,0.757358996
YDR448W,0.13441034,0.5208219695,0.9100691492
YMR184W,0.1417274747,0.7353015911,0.328112876
YKL206C,0.15963036319999999,0.5166156975,0.4804204137
YAR015W,0.47164260140000003,0.4788230566,0.4455469236
YNL220W,0.6073382911,0.9304001384,0.5209592437
YLR359W,0.02703351644,0.4788230566,0.4455469236
YLR028C,0.4316314855,0.4380756576,0.4083327713
YMR120C,0.1764829621,0.7722984286,0.7286530759
YOR128C,0.397053655,0.7544959397,0.7104406316
YGR204W,0.18935107,0.4060214383,0.8672039955
YMR300C,0.4316314855,0.4380756576,0.4083327713
YGL234W,0.1854598955,0.5516678417,0.5131004624
YGR061C,0.397053655,0.7544959397,0.3515622182
YDR408C,0.5755552774,0.2192952162,0.5437250308
YCL058W-A,0.5434131951,0.5516678417,0.5131004624
YOL086C,0.9408627341,0.9455239451,0.9210261579
YMR303C,0.7053475571,0.7146065626,0.6702665125
YMR083W,0.6483206035,0.06053548644,0
YGL256W,0.9852252857,0.9869669738,0.7267013569
YBR145W,0.08778412724,0.09054095765,0.3686208547
YMR318C,0.9670205435,0.2768633703,0.8093970876
YCR105W,0.47164260140000003,0.4788230566,0.4455469236
YMR009W,0.3713887351,0.7353015911,0.328112876
YDR226W,0.1474022278,0.6157188892,0.8386298653
YER170W,0.02703351644,0.4788230566,0.4455469236
YJR105W,0.02589248572,0.9260163832,0.0825120422
YCR011C,0.5602341216,0.3047589552,0.2412281084
YDR216W,0.6830343027,0.3296279196,0.2806095488
YCR010C,0.6830343027,0.6922935259,0.6481352398
YDL239C,0.2924833463,0.2957030615,0.2810218897
YLR227C,0.5602341216,0.8550527038,0.8162410093
YMR064W,0.2924833463,0.2957030615,0.2810218897
YMR282C,0.2389049713,0.2406387139,0.2327650362
YPL005W,0.388590433,0.3941424874,0.3686208547
YLR040C,0.04768675073,0.2957030615,0.2810218897
YEL052W,0.726090038,0.7353015911,0.328112876
YLR397C,0.15963036319999999,0.5166156975,0.4804204137
YER017C,0.4316314855,0.4380756576,0.4083327713
YOR129C,0.7053475571,0.7146065626,0.6702665125
YDR085C,0.8472468831,0.8550527038,0.8162410093
YGL071W,0.2653328389,0.6422975318,0.2328582168
YPL202C,0.9083622216,0.4454537939,0.1706881732
