!
!Date: 01/25/2022
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
HXT15	YDL245C	involved in	GO:1904659	glucose transmembrane transport	biological process		IEA with glucose transmembrane transporter activity	computational	GOC	2022-01-19	GOA curators (2016)
HXT6	YDR343C	involved in	GO:1904659	glucose transmembrane transport	biological process		IEA with glucose transmembrane transporter activity	computational	GOC	2022-01-19	GOA curators (2016)
HXT13	YEL069C	involved in	GO:1904659	glucose transmembrane transport	biological process		IEA with glucose transmembrane transporter activity	computational	GOC	2022-01-19	GOA curators (2016)
HXT10	YFL011W	involved in	GO:1904659	glucose transmembrane transport	biological process		IEA with glucose transmembrane transporter activity	computational	GOC	2022-01-19	GOA curators (2016)
HXT4	YHR092C	involved in	GO:1904659	glucose transmembrane transport	biological process		IEA with glucose transmembrane transporter activity	computational	GOC	2022-01-19	GOA curators (2016)
HXT8	YJL214W	involved in	GO:1904659	glucose transmembrane transport	biological process		IEA with glucose transmembrane transporter activity	computational	GOC	2022-01-19	GOA curators (2016)
HXT9	YJL219W	involved in	GO:1904659	glucose transmembrane transport	biological process		IEA with glucose transmembrane transporter activity	computational	GOC	2022-01-19	GOA curators (2016)
HXT16	YJR158W	involved in	GO:1904659	glucose transmembrane transport	biological process		IEA with glucose transmembrane transporter activity	computational	GOC	2022-01-19	GOA curators (2016)
GAL2	YLR081W	involved in	GO:1904659	glucose transmembrane transport	biological process		IEA with glucose transmembrane transporter activity	computational	GOC	2022-01-19	GOA curators (2016)
HXT17	YNR072W	involved in	GO:1904659	glucose transmembrane transport	biological process		IEA with glucose transmembrane transporter activity	computational	GOC	2022-01-19	GOA curators (2016)
HXT11	YOL156W	involved in	GO:1904659	glucose transmembrane transport	biological process		IEA with glucose transmembrane transporter activity	computational	GOC	2022-01-19	GOA curators (2016)
