!
!Date: 01/25/2022
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
COX3	Q0275	involved in	GO:0055085	transmembrane transport	biological process		IEA with oxidoreduction-driven active transmembrane transporter activity	computational	GOC	2022-01-19	GOA curators (2016)
FLC2	YAL053W	involved in	GO:0055085	transmembrane transport	biological process		IBA with PTN002031037	computational	GO_Central	2020-08-09	Gaudet P, et al. (2011) PMID:21873635
FLC2	YAL053W	involved in	GO:0055085	transmembrane transport	biological process		IBA with SPAC1F7.03	computational	GO_Central	2020-08-09	Gaudet P, et al. (2011) PMID:21873635
FLC2	YAL053W	involved in	GO:0055085	transmembrane transport	biological process		IBA with SPCC1322.03	computational	GO_Central	2020-08-09	Gaudet P, et al. (2011) PMID:21873635
FLC2	YAL053W	involved in	GO:0055085	transmembrane transport	biological process		IBA with FLC2	computational	GO_Central	2020-08-09	Gaudet P, et al. (2011) PMID:21873635
SEO1	YAL067C	involved in	GO:0055085	transmembrane transport	biological process		IEA with IPR011701	computational	InterPro	2022-01-15	DDB, et al. (2001)
PET9	YBL030C	involved in	GO:0055085	transmembrane transport	biological process		IEA with IPR002067	computational	InterPro	2022-01-15	DDB, et al. (2001)
FUI1	YBL042C	involved in	GO:0055085	transmembrane transport	biological process		IEA with IPR001248	computational	InterPro	2022-01-15	DDB, et al. (2001)
FUI1	YBL042C	involved in	GO:0055085	transmembrane transport	biological process		IEA with IPR012681	computational	InterPro	2022-01-15	DDB, et al. (2001)
FUI1	YBL042C	involved in	GO:0055085	transmembrane transport	biological process		IEA with IPR045225	computational	InterPro	2022-01-15	DDB, et al. (2001)
FLR1	YBR008C	involved in	GO:0055085	transmembrane transport	biological process		IEA with IPR011701	computational	InterPro	2022-01-15	DDB, et al. (2001)
FLR1	YBR008C	involved in	GO:0055085	transmembrane transport	biological process		IBA with CAL0000173998	computational	GO_Central	2021-11-05	Gaudet P, et al. (2011) PMID:21873635
FLR1	YBR008C	involved in	GO:0055085	transmembrane transport	biological process		IBA with CAL0000181510	computational	GO_Central	2021-11-05	Gaudet P, et al. (2011) PMID:21873635
FLR1	YBR008C	involved in	GO:0055085	transmembrane transport	biological process		IBA with CAL0000197244	computational	GO_Central	2021-11-05	Gaudet P, et al. (2011) PMID:21873635
FLR1	YBR008C	involved in	GO:0055085	transmembrane transport	biological process		IBA with CAL0000199735	computational	GO_Central	2021-11-05	Gaudet P, et al. (2011) PMID:21873635
FLR1	YBR008C	involved in	GO:0055085	transmembrane transport	biological process		IBA with PTN001160522	computational	GO_Central	2021-11-05	Gaudet P, et al. (2011) PMID:21873635
FLR1	YBR008C	involved in	GO:0055085	transmembrane transport	biological process		IBA with SPAC17A2.01	computational	GO_Central	2021-11-05	Gaudet P, et al. (2011) PMID:21873635
FLR1	YBR008C	involved in	GO:0055085	transmembrane transport	biological process		IBA with SPAPB1A11.01	computational	GO_Central	2021-11-05	Gaudet P, et al. (2011) PMID:21873635
FLR1	YBR008C	involved in	GO:0055085	transmembrane transport	biological process		IBA with FLR1	computational	GO_Central	2021-11-05	Gaudet P, et al. (2011) PMID:21873635
FLR1	YBR008C	involved in	GO:0055085	transmembrane transport	biological process		IBA with QDR3	computational	GO_Central	2021-11-05	Gaudet P, et al. (2011) PMID:21873635
FLR1	YBR008C	involved in	GO:0055085	transmembrane transport	biological process		IBA with DTR1	computational	GO_Central	2021-11-05	Gaudet P, et al. (2011) PMID:21873635
FLR1	YBR008C	involved in	GO:0055085	transmembrane transport	biological process		IBA with QDR1	computational	GO_Central	2021-11-05	Gaudet P, et al. (2011) PMID:21873635
FLR1	YBR008C	involved in	GO:0055085	transmembrane transport	biological process		IBA with QDR2	computational	GO_Central	2021-11-05	Gaudet P, et al. (2011) PMID:21873635
FLR1	YBR008C	involved in	GO:0055085	transmembrane transport	biological process		IBA with TPO1	computational	GO_Central	2021-11-05	Gaudet P, et al. (2011) PMID:21873635
