!
!Date: 01/25/2022
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
CDC19	YAL038W	involved in	GO:0006096	glycolytic process	biological process		IEA	computational	UniProt	2022-01-15	UniProt-GOA (2012)
CDC19	YAL038W	involved in	GO:0006096	glycolytic process	biological process		IEA with KW-0324	computational	UniProt	2022-01-17	UniProt-GOA (2012)
CDC19	YAL038W	involved in	GO:0006096	glycolytic process	biological process		IBA with MGI:97591	computational	GO_Central	2020-09-29	Gaudet P, et al. (2011) PMID:21873635
CDC19	YAL038W	involved in	GO:0006096	glycolytic process	biological process		IBA with PTN000212670	computational	GO_Central	2020-09-29	Gaudet P, et al. (2011) PMID:21873635
CDC19	YAL038W	involved in	GO:0006096	glycolytic process	biological process		IBA with SPAC4H3.10c	computational	GO_Central	2020-09-29	Gaudet P, et al. (2011) PMID:21873635
CDC19	YAL038W	involved in	GO:0006096	glycolytic process	biological process		IBA with 3336	computational	GO_Central	2020-09-29	Gaudet P, et al. (2011) PMID:21873635
CDC19	YAL038W	involved in	GO:0006096	glycolytic process	biological process		IBA with 3337	computational	GO_Central	2020-09-29	Gaudet P, et al. (2011) PMID:21873635
CDC19	YAL038W	involved in	GO:0006096	glycolytic process	biological process		IBA with CDC19	computational	GO_Central	2020-09-29	Gaudet P, et al. (2011) PMID:21873635
CDC19	YAL038W	involved in	GO:0006096	glycolytic process	biological process		IBA with P0AD61	computational	GO_Central	2020-09-29	Gaudet P, et al. (2011) PMID:21873635
CDC19	YAL038W	involved in	GO:0006096	glycolytic process	biological process		IBA with P21599	computational	GO_Central	2020-09-29	Gaudet P, et al. (2011) PMID:21873635
CDC19	YAL038W	involved in	GO:0006096	glycolytic process	biological process		IBA with Q2RAK2	computational	GO_Central	2020-09-29	Gaudet P, et al. (2011) PMID:21873635
CDC19	YAL038W	involved in	GO:0006096	glycolytic process	biological process		IEA with IPR001697	computational	InterPro	2022-01-15	DDB, et al. (2001)
CDC19	YAL038W	involved in	GO:0006096	glycolytic process	biological process		IEA with IPR015793	computational	InterPro	2022-01-15	DDB, et al. (2001)
CDC19	YAL038W	involved in	GO:0006096	glycolytic process	biological process		IEA with IPR015806	computational	InterPro	2022-01-15	DDB, et al. (2001)
CDC19	YAL038W	involved in	GO:0006096	glycolytic process	biological process		IEA with IPR018209	computational	InterPro	2022-01-15	DDB, et al. (2001)
PGI1	YBR196C	involved in	GO:0006096	glycolytic process	biological process		IEA	computational	UniProt	2022-01-15	UniProt-GOA (2012)
