!
!Date: 01/25/2022
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
FUN26	YAL022C	involved in	GO:0055085	transmembrane transport	biological process		IDA	manually curated	SGD	2008-12-09	Vickers MF, et al. (2000) PMID:10827169
FLC2	YAL053W	involved in	GO:0055085	transmembrane transport	biological process		IMP	manually curated	SGD	2008-12-09	Protchenko O, et al. (2006) PMID:16717099
SEO1	YAL067C	involved in	GO:0055085	transmembrane transport	biological process		IMP	manually curated	SGD	2019-04-18	Isnard AD, et al. (1996) PMID:8893857
SEO1	YAL067C	involved in	GO:0055085	transmembrane transport	biological process		ISS with FEN2	manually curated	SGD	2019-04-17	Nelissen B, et al. (1997) PMID:9348664
SEO1	YAL067C	involved in	GO:0055085	transmembrane transport	biological process		ISS with VHT1	manually curated	SGD	2019-04-17	Nelissen B, et al. (1997) PMID:9348664
PET9	YBL030C	involved in	GO:0055085	transmembrane transport	biological process		IDA	manually curated	SGD	2008-12-09	Brandolin G, et al. (1993) PMID:8476415
FUI1	YBL042C	involved in	GO:0055085	transmembrane transport	biological process		IMP	manually curated	SGD	2008-12-09	Vickers MF, et al. (2000) PMID:10827169
AVT5	YBL089W	involved in	GO:0055085	transmembrane transport	biological process		ISS with P40074	manually curated	SGD	2019-04-17	Russnak R, et al. (2001) PMID:11274162
FUR4	YBR021W	involved in	GO:0055085	transmembrane transport	biological process		IDA	manually curated	SGD	2008-12-09	Urban-Grimal D, et al. (1995) PMID:8948441
QDR3	YBR043C	involved in	GO:0055085	transmembrane transport	biological process	has input quinidine	IMP	manually curated	SGD	2019-03-29	Tenreiro S, et al. (2005) PMID:15649438
QDR3	YBR043C	involved in	GO:0055085	transmembrane transport	biological process	has input bleomycin	IMP	manually curated	SGD	2019-03-29	Tenreiro S, et al. (2005) PMID:15649438
BAP2	YBR068C	involved in	GO:0055085	transmembrane transport	biological process		IDA	manually curated	SGD	2008-12-10	Regenberg B, et al. (1999) PMID:10654085
