!
!Date: 01/25/2022
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
CIT2	YCR005C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IEA	computational	UniProt	2022-01-15	UniProt-GOA (2012)
CIT2	YCR005C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IEA with KW-0816	computational	UniProt	2022-01-17	UniProt-GOA (2012)
CIT2	YCR005C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IBA with PTN000201223	computational	GO_Central	2018-05-08	Gaudet P, et al. (2011) PMID:21873635
CIT2	YCR005C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IBA with SPAC6C3.04	computational	GO_Central	2018-05-08	Gaudet P, et al. (2011) PMID:21873635
CIT2	YCR005C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IBA with 620330	computational	GO_Central	2018-05-08	Gaudet P, et al. (2011) PMID:21873635
CIT2	YCR005C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IBA with CIT3	computational	GO_Central	2018-05-08	Gaudet P, et al. (2011) PMID:21873635
CIT2	YCR005C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IBA with Q9I5E3	computational	GO_Central	2018-05-08	Gaudet P, et al. (2011) PMID:21873635
IDP1	YDL066W	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IEA with KW-0816	computational	UniProt	2022-01-17	UniProt-GOA (2012)
MDH3	YDL078C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IEA with KW-0816	computational	UniProt	2022-01-17	UniProt-GOA (2012)
MDH3	YDL078C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IEA with IPR010097	computational	InterPro	2022-01-15	DDB, et al. (2001)
MDH3	YDL078C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IBA with PTN000899493	computational	GO_Central	2019-01-16	Gaudet P, et al. (2011) PMID:21873635
MDH3	YDL078C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IBA with MDH1	computational	GO_Central	2019-01-16	Gaudet P, et al. (2011) PMID:21873635
KGD2	YDR148C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IEA with KW-0816	computational	UniProt	2022-01-17	UniProt-GOA (2012)
KGD2	YDR148C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IEA with IPR006255	computational	InterPro	2022-01-15	DDB, et al. (2001)
SDH4	YDR178W	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IEA	computational	UniProt	2022-01-15	UniProt-GOA (2012)
SDH4	YDR178W	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IEA with KW-0816	computational	UniProt	2022-01-17	UniProt-GOA (2012)
SDH4	YDR178W	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IBA with PTN001000243	computational	GO_Central	2017-02-28	Gaudet P, et al. (2011) PMID:21873635
SDH4	YDR178W	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IBA with O14521	computational	GO_Central	2017-02-28	Gaudet P, et al. (2011) PMID:21873635
ICL1	YER065C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IEA with KW-0816	computational	UniProt	2022-01-17	UniProt-GOA (2012)
LSC2	YGR244C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IEA	computational	UniProt	2022-01-15	UniProt-GOA (2012)
LSC2	YGR244C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IEA with KW-0816	computational	UniProt	2022-01-17	UniProt-GOA (2012)
LSC2	YGR244C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IBA with PTN000212531	computational	GO_Central	2019-02-21	Gaudet P, et al. (2011) PMID:21873635
LSC2	YGR244C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IBA with 1305008	computational	GO_Central	2019-02-21	Gaudet P, et al. (2011) PMID:21873635
LSC2	YGR244C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IBA with 1309397	computational	GO_Central	2019-02-21	Gaudet P, et al. (2011) PMID:21873635
LSC2	YGR244C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IBA with P0A836	computational	GO_Central	2019-02-21	Gaudet P, et al. (2011) PMID:21873635
LSC2	YGR244C	involved in	GO:0006099	tricarboxylic acid cycle	biological process		IEA with IPR005809	computational	InterPro	2022-01-15	DDB, et al. (2001)
